Symbol,Company Name,Industry,Series,ISIN Code
ATGL,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,EQ,INE399L01023
ATUL,Atul Ltd.,Chemicals,EQ,INE100A01010
AUBANK,AU Small Finance Bank Ltd.,Financial Services,EQ,INE949L01017
AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare,EQ,INE406A01037
AXISBANK,Axis Bank Ltd.,Financial Services,EQ,INE238A01034
BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile and Auto Components,EQ,INE917I01010
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,EQ,INE918I01026
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Financial Services,EQ,INE118A01012
BAJFINANCE,Bajaj Finance Ltd.,Financial Services,EQ,INE296A01024
BALKRISIND,Balkrishna Industries Ltd.,Automobile and Auto Components,EQ,INE787D01026
BALRAMCHIN,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,EQ,INE119A01028
BANDHANBNK,Bandhan Bank Ltd.,Financial Services,EQ,INE545U01014
BANKBARODA,Bank of Baroda,Financial Services,EQ,INE028A01039
BANKINDIA,Bank of India,Financial Services,EQ,INE084A01016
BASF,BASF India Ltd.,Chemicals,EQ,INE373A01013
BATAINDIA,Bata India Ltd.,Consumer Durables,EQ,INE176A01028
BAYERCROP,Bayer Cropscience Ltd.,Chemicals,EQ,INE462A01022
BBTC,Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,EQ,INE050A01025
BDL,Bharat Dynamics Ltd.,Capital Goods,EQ,INE171Z01026
BEL,Bharat Electronics Ltd.,Capital Goods,EQ,INE263A01024
BEML,BEML Ltd.,Capital Goods,EQ,INE258A01016
BERGEPAINT,Berger Paints India Ltd.,Consumer Durables,EQ,INE463A01038
BHARATFORG,Bharat Forge Ltd.,Automobile and Auto Components,EQ,INE465A01025
BHARTIARTL,Bharti Airtel Ltd.,Telecommunication,EQ,INE397D01024
BHEL,Bharat Heavy Electricals Ltd.,Capital Goods,EQ,INE257A01026
BIOCON,Biocon Ltd.,Healthcare,EQ,INE376G01013
BLS,BLS International Services Ltd.,Consumer Services,EQ,INE153T01027
BLUEDART,Blue Dart Express Ltd.,Services,EQ,INE233B01017
BLUESTARCO,Blue Star Ltd.,Consumer Durables,EQ,INE472A01039
BOSCHLTD,Bosch Ltd.,Automobile and Auto Components,EQ,INE323A01026
BPCL,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,EQ,INE029A01011
BRIGADE,Brigade Enterprises Ltd.,Realty,EQ,INE791I01019
BRITANNIA,Britannia Industries Ltd.,Fast Moving Consumer Goods,EQ,INE216A01030
BSE,BSE Ltd.,Financial Services,EQ,INE118H01025
BSOFT,Birlasoft Ltd.,Information Technology,EQ,INE836A01035
CAMS,Computer Age Management Services Ltd.,Financial Services,EQ,INE596I01012
CANBK,Canara Bank,Financial Services,EQ,INE476A01022
CANFINHOME,Can Fin Homes Ltd.,Financial Services,EQ,INE477A01020
CAPLIPOINT,Caplin Point Laboratories Ltd.,Healthcare,EQ,INE475E01026
CARBORUNIV,Carborundum Universal Ltd.,Capital Goods,EQ,INE120A01034
CASTROLIND,Castrol India Ltd.,Oil Gas & Consumable Fuels,EQ,INE172A01027
CCL,CCL Products (I) Ltd.,Fast Moving Consumer Goods,EQ,INE421D01022
CDSL,Central Depository Services (India) Ltd.,Financial Services,EQ,INE736A01011
CEATLTD,Ceat Ltd.,Automobile and Auto Components,EQ,INE482A01020
CENTRALBK,Central Bank of India,Financial Services,EQ,INE483A01010
CENTURYPLY,Century Plyboards (India) Ltd.,Consumer Durables,EQ,INE348B01021
CERA,Cera Sanitaryware Ltd,Consumer Durables,EQ,INE739E01017
CESC,CESC Ltd.,Power,EQ,INE486A01021
CGCL,Capri Global Capital Ltd.,Financial Services,EQ,INE180C01042
CGPOWER,CG Power and Industrial Solutions Ltd.,Capital Goods,EQ,INE067A01029
CHALET,Chalet Hotels Ltd.,Consumer Services,EQ,INE427F01016
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,Chemicals,EQ,INE085A01013
CHENNPETRO,Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,EQ,INE178A01016
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,Financial Services,EQ,INE121A01024
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.,Financial Services,EQ,INE149A01033
CIPLA,Cipla Ltd.,Healthcare,EQ,INE059A01026
COALINDIA,Coal India Ltd.,Oil Gas & Consumable Fuels,EQ,INE522F01014
COCHINSHIP,Cochin Shipyard Ltd.,Capital Goods,EQ,INE704P01025
COFORGE,Coforge Ltd.,Information Technology,EQ,INE591G01025
COLPAL,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,EQ,INE259A01022
CONCOR,Container Corporation of India Ltd.,Services,EQ,INE111A01025
COROMANDEL,Coromandel International Ltd.,Chemicals,EQ,INE169A01031
CREDITACC,CreditAccess Grameen Ltd.,Financial Services,EQ,INE741K01010
CRISIL,CRISIL Ltd.,Financial Services,EQ,INE007A01025
CROMPTON,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,EQ,INE299U01018
CUB,City Union Bank Ltd.,Financial Services,EQ,INE491A01021
CUMMINSIND,Cummins India Ltd.,Capital Goods,EQ,INE298A01020
CYIENT,Cyient Ltd.,Information Technology,EQ,INE136B01020
DABUR,Dabur India Ltd.,Fast Moving Consumer Goods,EQ,INE016A01026
DALBHARAT,Dalmia Bharat Ltd.,Construction Materials,EQ,INE00R701025
DBREALTY,Valor Estate Ltd.,Consumer Services,EQ,INE879I01012
DCMSHRIRAM,DCM Shriram Ltd.,Diversified,EQ,INE499A01024
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,EQ,INE501A01019
DEEPAKNTR,Deepak Nitrite Ltd.,Chemicals,EQ,INE288B01029
DIVISLAB,Divi's Laboratories Ltd.,Healthcare,EQ,INE361B01024
DIXON,Dixon Technologies (India) Ltd.,Consumer Durables,EQ,INE935N01020
DLF,DLF Ltd.,Realty,EQ,INE271C01023
DMART,Avenue Supermarts Ltd.,Consumer Services,EQ,INE192R01011
DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare,EQ,INE089A01031
ECLERX,eClerx Services Ltd.,Services,EQ,INE738I01010
EICHERMOT,Eicher Motors Ltd.,Automobile and Auto Components,EQ,INE066A01021
EIDPARRY,E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,EQ,INE126A01031
EIHOTEL,EIH Ltd.,Consumer Services,EQ,INE230A01023
ELECON,Elecon Engineering Co. Ltd.,Capital Goods,EQ,INE205B01031
ELGIEQUIP,Elgi Equipments Ltd.,Capital Goods,EQ,INE285A01027
EMAMILTD,Emami Ltd.,Fast Moving Consumer Goods,EQ,INE548C01032
ENDURANCE,Endurance Technologies Ltd.,Automobile and Auto Components,EQ,INE913H01037
ENGINERSIN,Engineers India Ltd.,Construction,EQ,INE510A01028
ERIS,Eris Lifesciences Ltd.,Healthcare,EQ,INE406M01024
ESCORTS,Escorts Kubota Ltd.,Capital Goods,EQ,INE042A01014
EXIDEIND,Exide Industries Ltd.,Automobile and Auto Components,EQ,INE302A01020
FACT,Fertilisers and Chemicals Travancore Ltd.,Chemicals,EQ,INE188A01015
FEDERALBNK,Federal Bank Ltd.,Financial Services,EQ,INE171A01029
FINCABLES,Finolex Cables Ltd.,Capital Goods,EQ,INE235A01022
FINPIPE,Finolex Industries Ltd.,Capital Goods,EQ,INE183A01024
FLUOROCHEM,Gujarat Fluorochemicals Ltd.,Chemicals,EQ,INE09N301011
FORTIS,Fortis Healthcare Ltd.,Healthcare,EQ,INE061F01013
FSL,Firstsource Solutions Ltd.,Services,EQ,INE684F01012
GAIL,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,EQ,INE129A01019
GESHIP,Great Eastern Shipping Co. Ltd.,Services,EQ,INE017A01032
GICRE,General Insurance Corporation of India,Financial Services,EQ,INE481Y01014
GILLETTE,Gillette India Ltd.,Fast Moving Consumer Goods,EQ,INE322A01010
GLAND,Gland Pharma Ltd.,Healthcare,EQ,INE068V01023
GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,EQ,INE159A01016
GLENMARK,Glenmark Pharmaceuticals Ltd.,Healthcare,EQ,INE935A01035
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,Metals & Mining,EQ,INE131A01031
GMRAIRPORT,GMR Airports Ltd.,Services,EQ,INE776C01039
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,Chemicals,EQ,INE113A01013
GODFRYPHLP,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,EQ,INE260B01028
GODREJAGRO,Godrej Agrovet Ltd.,Fast Moving Consumer Goods,EQ,INE850D01014
GODREJCP,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,EQ,INE102D01028
GODREJIND,Godrej Industries Ltd.,Diversified,EQ,INE233A01035
GODREJPROP,Godrej Properties Ltd.,Realty,EQ,INE484J01027
GPIL,Godawari Power & Ispat Ltd.,Capital Goods,EQ,INE177H01039
GPPL,Gujarat Pipavav Port Ltd.,Services,EQ,INE517F01014
GRANULES,Granules India Ltd.,Healthcare,EQ,INE101D01020
GRAPHITE,Graphite India Ltd.,Capital Goods,EQ,INE371A01025
GRASIM,Grasim Industries Ltd.,Construction Materials,EQ,INE047A01021
GRAVITA,Gravita India Ltd.,Metals & Mining,EQ,INE024L01027
GRSE,Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,EQ,INE382Z01011
GSPL,Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,EQ,INE246F01010
GUJGASLTD,Gujarat Gas Ltd.,Oil Gas & Consumable Fuels,EQ,INE844O01030
GVT&D,GE Vernova T&D India Ltd.,Capital Goods,EQ,INE200A01026
HAL,Hindustan Aeronautics Ltd.,Capital Goods,EQ,INE066F01020
HAPPSTMNDS,Happiest Minds Technologies Ltd.,Information Technology,EQ,INE419U01012
HAVELLS,Havells India Ltd.,Consumer Durables,EQ,INE176B01034
HCLTECH,HCL Technologies Ltd.,Information Technology,EQ,INE860A01027
HDFCAMC,HDFC Asset Management Company Ltd.,Financial Services,EQ,INE127D01025
HDFCBANK,HDFC Bank Ltd.,Financial Services,EQ,INE040A01034
HDFCLIFE,HDFC Life Insurance Company Ltd.,Financial Services,EQ,INE795G01014
HEG,H.E.G. Ltd.,Capital Goods,EQ,INE545A01024
HEROMOTOCO,Hero MotoCorp Ltd.,Automobile and Auto Components,EQ,INE158A01026
HFCL,HFCL Ltd.,Telecommunication,EQ,INE548A01028
HINDALCO,Hindalco Industries Ltd.,Metals & Mining,EQ,INE038A01020
HINDCOPPER,Hindustan Copper Ltd.,Metals & Mining,EQ,INE531E01026
HINDPETRO,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,EQ,INE094A01015
HINDUNILVR,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,EQ,INE030A01027
HINDZINC,Hindustan Zinc Ltd.,Metals & Mining,EQ,INE267A01025
HONAUT,Honeywell Automation India Ltd.,Capital Goods,EQ,INE671A01010
HSCL,Himadri Speciality Chemical Ltd.,Chemicals,EQ,INE019C01026
HUDCO,Housing & Urban Development Corporation Ltd.,Financial Services,EQ,INE031A01017
ICICIBANK,ICICI Bank Ltd.,Financial Services,EQ,INE090A01021
ICICIGI,ICICI Lombard General Insurance Company Ltd.,Financial Services,EQ,INE765G01017
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,Financial Services,EQ,INE726G01019
IDBI,IDBI Bank Ltd.,Financial Services,EQ,INE008A01015
IDEA,Vodafone Idea Ltd.,Telecommunication,EQ,INE669E01016
IDFCFIRSTB,IDFC First Bank Ltd.,Financial Services,EQ,INE092T01019
IEX,Indian Energy Exchange Ltd.,Financial Services,EQ,INE022Q01020
IFCI,IFCI Ltd.,Financial Services,EQ,INE039A01010
IGL,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,EQ,INE203G01027
IIFL,IIFL Finance Ltd.,Financial Services,EQ,INE530B01024
INDHOTEL,Indian Hotels Co. Ltd.,Consumer Services,EQ,INE053A01029
INDIACEM,India Cements Ltd.,Construction Materials,EQ,INE383A01012
INDIAMART,Indiamart Intermesh Ltd.,Consumer Services,EQ,INE933S01016
INDIANB,Indian Bank,Financial Services,EQ,INE562A01011
INDIGO,InterGlobe Aviation Ltd.,Services,EQ,INE646L01027
INDUSINDBK,IndusInd Bank Ltd.,Financial Services,EQ,INE095A01012
INDUSTOWER,Indus Towers Ltd.,Telecommunication,EQ,INE121J01017
INFY,Infosys Ltd.,Information Technology,EQ,INE009A01021
INOXWIND,Inox Wind Ltd.,Capital Goods,EQ,INE066P01011
INTELLECT,Intellect Design Arena Ltd.,Information Technology,EQ,INE306R01017
IOB,Indian Overseas Bank,Financial Services,EQ,INE565A01014
IOC,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,EQ,INE242A01010
IPCALAB,Ipca Laboratories Ltd.,Healthcare,EQ,INE571A01038
IRB,IRB Infrastructure Developers Ltd.,Construction,EQ,INE821I01022
IRCON,IRCON International Ltd.,Construction,EQ,INE962Y01021
IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,EQ,INE335Y01020
ITC,ITC Ltd.,Fast Moving Consumer Goods,EQ,INE154A01025
ITI,ITI Ltd.,Telecommunication,EQ,INE248A01017
J&KBANK,Jammu & Kashmir Bank Ltd.,Financial Services,EQ,INE168A01041
JBCHEPHARM,J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,EQ,INE572A01036
JBMA,JBM Auto Ltd.,Automobile and Auto Components,EQ,INE927D01051
JINDALSAW,Jindal Saw Ltd.,Capital Goods,EQ,INE324A01032
JINDALSTEL,Jindal Steel & Power Ltd.,Metals & Mining,EQ,INE749A01030
JKCEMENT,J.K. Cement Ltd.,Construction Materials,EQ,INE823G01014
JKTYRE,JK Tyre & Industries Ltd.,Automobile and Auto Components,EQ,INE573A01042
JMFINANCIL,JM Financial Ltd.,Financial Services,EQ,INE780C01023
JPPOWER,Jaiprakash Power Ventures Ltd.,Power,EQ,INE351F01018
JSL,Jindal Stainless Ltd.,Metals & Mining,EQ,INE220G01021
JSWENERGY,JSW Energy Ltd.,Power,EQ,INE121E01018
JSWHL,JSW Holdings Ltd.,Financial Services,BE,INE824G01012
JSWSTEEL,JSW Steel Ltd.,Metals & Mining,EQ,INE019A01038
JUBLFOOD,Jubilant Foodworks Ltd.,Consumer Services,EQ,INE797F01020
JUBLPHARMA,Jubilant Pharmova Ltd.,Healthcare,EQ,INE700A01033
JUSTDIAL,Justdial Ltd.,Consumer Services,EQ,INE599M01018
JWL,Jupiter Wagons Ltd.,Capital Goods,EQ,INE209L01016
JYOTHYLAB,Jyothy Labs Ltd.,Fast Moving Consumer Goods,EQ,INE668F01031
KAJARIACER,Kajaria Ceramics Ltd.,Consumer Durables,EQ,INE217B01036
KANSAINER,Kansai Nerolac Paints Ltd.,Consumer Durables,EQ,INE531A01024
KARURVYSYA,Karur Vysya Bank Ltd.,Financial Services,EQ,INE036D01028
KEC,Kec International Ltd.,Construction,EQ,INE389H01022
KEI,KEI Industries Ltd.,Capital Goods,EQ,INE878B01027
KIRLOSBROS,Kirloskar Brothers Ltd.,Capital Goods,EQ,INE732A01036
KIRLOSENG,Kirloskar Oil Eng Ltd.,Capital Goods,EQ,INE146L01010
KNRCON,KNR Constructions Ltd.,Construction,EQ,INE634I01029
KOTAKBANK,Kotak Mahindra Bank Ltd.,Financial Services,EQ,INE237A01028
KPITTECH,KPIT Technologies Ltd.,Information Technology,EQ,INE04I401011
KPRMILL,K.P.R. Mill Ltd.,Textiles,EQ,INE930H01031
LALPATHLAB,Dr. Lal Path Labs Ltd.,Healthcare,EQ,INE600L01024
LAURUSLABS,Laurus Labs Ltd.,Healthcare,EQ,INE947Q01028
LEMONTREE,Lemon Tree Hotels Ltd.,Consumer Services,EQ,INE970X01018
LICHSGFIN,LIC Housing Finance Ltd.,Financial Services,EQ,INE115A01026
LINDEINDIA,Linde India Ltd.,Chemicals,EQ,INE473A01011
LT,Larsen & Toubro Ltd.,Construction,EQ,INE018A01030
LTF,L&T Finance Ltd.,Financial Services,EQ,INE498L01015
LTIM,LTIMindtree Ltd.,Information Technology,EQ,INE214T01019
LTTS,L&T Technology Services Ltd.,Information Technology,EQ,INE010V01017
LUPIN,Lupin Ltd.,Healthcare,EQ,INE326A01037
M&M,Mahindra & Mahindra Ltd.,Automobile and Auto Components,EQ,INE101A01026
M&MFIN,Mahindra & Mahindra Financial Services Ltd.,Financial Services,EQ,INE774D01024
MAHABANK,Bank of Maharashtra,Financial Services,EQ,INE457A01014
MAHSEAMLES,Maharashtra Seamless Ltd.,Capital Goods,EQ,INE271B01025
MANAPPURAM,Manappuram Finance Ltd.,Financial Services,EQ,INE522D01027
MARICO,Marico Ltd.,Fast Moving Consumer Goods,EQ,INE196A01026
MARUTI,Maruti Suzuki India Ltd.,Automobile and Auto Components,EQ,INE585B01010
MASTEK,Mastek Ltd.,Information Technology,EQ,INE759A01021
MAXHEALTH,Max Healthcare Institute Ltd.,Healthcare,EQ,INE027H01010
MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,EQ,INE249Z01020
MCX,Multi Commodity Exchange of India Ltd.,Financial Services,EQ,INE745G01035
METROPOLIS,Metropolis Healthcare Ltd.,Healthcare,EQ,INE112L01020
MFSL,Max Financial Services Ltd.,Financial Services,EQ,INE180A01020
MGL,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,EQ,INE002S01010
MINDACORP,Minda Corporation Ltd.,Automobile and Auto Components,EQ,INE842C01021
MMTC,MMTC Ltd.,Services,BE,INE123F01029
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,EQ,INE775A01035
MOTILALOFS,Motilal Oswal Financial Services Ltd.,Financial Services,EQ,INE338I01027
MPHASIS,MphasiS Ltd.,Information Technology,EQ,INE356A01018
MRF,MRF Ltd.,Automobile and Auto Components,EQ,INE883A01011
MRPL,Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,EQ,INE103A01014
MUTHOOTFIN,Muthoot Finance Ltd.,Financial Services,EQ,INE414G01012
NAM-INDIA,Nippon Life India Asset Management Ltd.,Financial Services,EQ,INE298J01013
NATCOPHARM,NATCO Pharma Ltd.,Healthcare,EQ,INE987B01026
NATIONALUM,National Aluminium Co. Ltd.,Metals & Mining,EQ,INE139A01034
NAUKRI,Info Edge (India) Ltd.,Consumer Services,EQ,INE663F01032
NAVA,Nava Ltd.,Power,EQ,INE725A01030
NAVINFLUOR,Navin Fluorine International Ltd.,Chemicals,EQ,INE048G01026
NBCC,NBCC (India) Ltd.,Construction,EQ,INE095N01031
NCC,NCC Ltd.,Construction,EQ,INE868B01028
NESTLEIND,Nestle India Ltd.,Fast Moving Consumer Goods,EQ,INE239A01024
NETWORK18,Network18 Media & Investments Ltd.,Media Entertainment & Publication,EQ,INE870H01013
NEULANDLAB,Neuland Laboratories Ltd.,Healthcare,EQ,INE794A01010
NEWGEN,Newgen Software Technologies Ltd.,Information Technology,EQ,INE619B01017
NH,Narayana Hrudayalaya Ltd.,Healthcare,EQ,INE410P01011
NHPC,NHPC Ltd.,Power,EQ,INE848E01016
NIACL,The New India Assurance Company Ltd.,Financial Services,EQ,INE470Y01017
NLCINDIA,NLC India Ltd.,Power,EQ,INE589A01014
NMDC,NMDC Ltd.,Metals & Mining,EQ,INE584A01023
NTPC,NTPC Ltd.,Power,EQ,INE733E01010
OBEROIRLTY,Oberoi Realty Ltd.,Realty,EQ,INE093I01010
OFSS,Oracle Financial Services Software Ltd.,Information Technology,EQ,INE881D01027
OIL,Oil India Ltd.,Oil Gas & Consumable Fuels,EQ,INE274J01014
OLECTRA,Olectra Greentech Ltd.,Automobile and Auto Components,EQ,INE260D01016
ONGC,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,EQ,INE213A01029
PAGEIND,Page Industries Ltd.,Textiles,EQ,INE761H01022
PATANJALI,Patanjali Foods Ltd.,Fast Moving Consumer Goods,EQ,INE619A01035
PCBL,PCBL Chemical Ltd.,Chemicals,EQ,INE602A01031
PEL,Piramal Enterprises Ltd.,Financial Services,EQ,INE140A01024
PERSISTENT,Persistent Systems Ltd.,Information Technology,EQ,INE262H01021
PETRONET,Petronet LNG Ltd.,Oil Gas & Consumable Fuels,EQ,INE347G01014
PFC,Power Finance Corporation Ltd.,Financial Services,EQ,INE134E01011
PFIZER,Pfizer Ltd.,Healthcare,EQ,INE182A01018
PGEL,PG Electroplast Ltd.,Consumer Durables,EQ,INE457L01029
PHOENIXLTD,Phoenix Mills Ltd.,Realty,EQ,INE211B01039
PIDILITIND,Pidilite Industries Ltd.,Chemicals,EQ,INE318A01026
PIIND,PI Industries Ltd.,Chemicals,EQ,INE603J01030
PNB,Punjab National Bank,Financial Services,EQ,INE160A01022
PNBHOUSING,PNB Housing Finance Ltd.,Financial Services,EQ,INE572E01012
PNCINFRA,PNC Infratech Ltd.,Construction,EQ,INE195J01029
POLYCAB,Polycab India Ltd.,Capital Goods,EQ,INE455K01017
POLYMED,Poly Medicure Ltd.,Healthcare,EQ,INE205C01021
POONAWALLA,Poonawalla Fincorp Ltd.,Financial Services,EQ,INE511C01022
POWERGRID,Power Grid Corporation of India Ltd.,Power,EQ,INE752E01010
POWERINDIA,Hitachi Energy India Ltd.,Capital Goods,EQ,INE07Y701011
PRAJIND,Praj Industries Ltd.,Capital Goods,EQ,INE074A01025
PRESTIGE,Prestige Estates Projects Ltd.,Realty,EQ,INE811K01011
RADICO,Radico Khaitan Ltd,Fast Moving Consumer Goods,EQ,INE944F01028
RAMCOCEM,The Ramco Cements Ltd.,Construction Materials,EQ,INE331A01037
RAYMOND,Raymond Ltd.,Realty,EQ,INE301A01014
RBLBANK,RBL Bank Ltd.,Financial Services,EQ,INE976G01028
RCF,Rashtriya Chemicals & Fertilizers Ltd.,Chemicals,EQ,INE027A01015
RECLTD,REC Ltd.,Financial Services,EQ,INE020B01018
REDINGTON,Redington Ltd.,Services,EQ,INE891D01026
RELIANCE,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,EQ,INE002A01018
RENUKA,Shree Renuka Sugars Ltd.,Fast Moving Consumer Goods,EQ,INE087H01022
RHIM,RHI MAGNESITA INDIA LTD.,Capital Goods,EQ,INE743M01012
RITES,RITES Ltd.,Construction,EQ,INE320J01015
RKFORGE,Ramkrishna Forgings Ltd.,Automobile and Auto Components,EQ,INE399G01023
ROUTE,Route Mobile Ltd.,Telecommunication,EQ,INE450U01017
RPOWER,Reliance Power Ltd.,Power,EQ,INE614G01033
RTNINDIA,RattanIndia Enterprises Ltd.,Consumer Services,EQ,INE834M01019
RVNL,Rail Vikas Nigam Ltd.,Construction,EQ,INE415G01027
SAIL,Steel Authority of India Ltd.,Metals & Mining,EQ,INE114A01011
SAMMAANCAP,Sammaan Capital Ltd.,Financial Services,EQ,INE148I01020
SARDAEN,Sarda Energy and Minerals Ltd.,Metals & Mining,EQ,INE385C01021
SAREGAMA,Saregama India Ltd,Media Entertainment & Publication,EQ,INE979A01025
SBICARD,SBI Cards and Payment Services Ltd.,Financial Services,EQ,INE018E01016
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,EQ,INE123W01016
SBIN,State Bank of India,Financial Services,EQ,INE062A01020
SCHAEFFLER,Schaeffler India Ltd.,Automobile and Auto Components,EQ,INE513A01022
SCHNEIDER,Schneider Electric Infrastructure Ltd.,Capital Goods,EQ,INE839M01018
SCI,Shipping Corporation of India Ltd.,Services,EQ,INE109A01011
SHREECEM,Shree Cement Ltd.,Construction Materials,EQ,INE070A01015
SHRIRAMFIN,Shriram Finance Ltd.,Financial Services,EQ,INE721A01047
SIEMENS,Siemens Ltd.,Capital Goods,EQ,INE003A01024
SJVN,SJVN Ltd.,Power,EQ,INE002L01015
SKFINDIA,SKF India Ltd.,Capital Goods,EQ,INE640A01023
SOBHA,Sobha Ltd.,Realty,EQ,INE671H01015
SOLARINDS,Solar Industries India Ltd.,Chemicals,EQ,INE343H01029
SONATSOFTW,Sonata Software Ltd.,Information Technology,EQ,INE269A01021
SRF,SRF Ltd.,Chemicals,EQ,INE647A01010
SUMICHEM,Sumitomo Chemical India Ltd.,Chemicals,EQ,INE258G01013
SUNDARMFIN,Sundaram Finance Ltd.,Financial Services,EQ,INE660A01013
SUNDRMFAST,Sundram Fasteners Ltd.,Automobile and Auto Components,EQ,INE387A01021
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare,EQ,INE044A01036
SUNTV,Sun TV Network Ltd.,Media Entertainment & Publication,EQ,INE424H01027
SUPREMEIND,Supreme Industries Ltd.,Capital Goods,EQ,INE195A01028
