Original_Symbol,Yahoo_Finance_Ticker
MAHSEAMLES,MAHSEAMLES.NS
M&MFIN,M&MFIN.NS
M&M,M&M.NS
MANAPPURAM,MANAPPURAM.NS
MRPL,MRPL.NS
MANKIND,MANKIND.NS
MARICO,MARICO.NS
MARUTI,MARUTI.NS
MASTEK,MASTEK.NS
MFSL,MFSL.NS
MAXHEALTH,MAXHEALTH.NS
MAZDOCK,MAZDOCK.NS
METROPOLIS,METROPOLIS.NS
MINDACORP,MINDACORP.NS
MSUMI,MSUMI.NS
MOTILALOFS,MOTILALOFS.NS
MPHASIS,MPHASIS.NS
MCX,MCX.NS
MUTHOOTFIN,MUTHOOTFIN.NS
NATCOPHARM,NATCOPHARM.NS
NBCC,NBCC.NS
NCC,NCC.NS
NHPC,NHPC.NS
NLCINDIA,NLCINDIA.NS
NMDC,NMDC.NS
NSLNISP,NSLNISP.NS
NTPCGREEN,NTPCGREEN.NS
NTPC,NTPC.NS
NH,NH.NS
NATIONALUM,NATIONALUM.NS
NAVA,NAVA.NS
NAVINFLUOR,NAVINFLUOR.NS
NESTLEIND,NESTLEIND.NS
NETWEB,NETWEB.NS
NETWORK18,NETWORK18.NS
NEULANDLAB,NEULANDLAB.NS
NEWGEN,NEWGEN.NS
NAM-INDIA,NAM-INDIA.NS
NIVABUPA,NIVABUPA.NS
NUVAMA,NUVAMA.NS
OBEROIRLTY,OBEROIRLTY.NS
ONGC,ONGC.NS
OIL,OIL.NS
OLAELEC,OLAELEC.NS
OLECTRA,OLECTRA.NS
PAYTM,PAYTM.NS
OFSS,OFSS.NS
POLICYBZR,POLICYBZR.NS
PCBL,PCBL.NS
PGEL,PGEL.NS
PIIND,PIIND.NS
PNBHOUSING,PNBHOUSING.NS
PNCINFRA,PNCINFRA.NS
PTCIL,PTCIL.NS
PVRINOX,PVRINOX.NS
PAGEIND,PAGEIND.NS
PATANJALI,PATANJALI.NS
PERSISTENT,PERSISTENT.NS
PETRONET,PETRONET.NS
PFIZER,PFIZER.NS
PHOENIXLTD,PHOENIXLTD.NS
PIDILITIND,PIDILITIND.NS
PEL,PEL.NS
PPLPHARMA,PPLPHARMA.NS
POLYMED,POLYMED.NS
POLYCAB,POLYCAB.NS
POONAWALLA,POONAWALLA.NS
PFC,PFC.NS
POWERGRID,POWERGRID.NS
PRAJIND,PRAJIND.NS
PREMIERENE,PREMIERENE.NS
PRESTIGE,PRESTIGE.NS
PNB,PNB.NS
RRKABEL,RRKABEL.NS
RBLBANK,RBLBANK.NS
RECLTD,RECLTD.NS
RHIM,RHIM.NS
RITES,RITES.NS
RADICO,RADICO.NS
RVNL,RVNL.NS
RAILTEL,RAILTEL.NS
RAINBOW,RAINBOW.NS
RKFORGE,RKFORGE.NS
RCF,RCF.NS
RTNINDIA,RTNINDIA.NS
RAYMONDLSL,RAYMONDLSL.NS
RAYMOND,RAYMOND.NS
REDINGTON,REDINGTON.NS
RELIANCE,RELIANCE.NS
RPOWER,RPOWER.NS
ROUTE,ROUTE.NS
SBFC,SBFC.NS
SBICARD,SBICARD.NS
SBILIFE,SBILIFE.NS
SJVN,SJVN.NS
SKFINDIA,SKFINDIA.NS
SRF,SRF.NS
SAGILITY,SAGILITY.NS
SAILIFE,SAILIFE.NS
SAMMAANCAP,SAMMAANCAP.NS
MOTHERSON,MOTHERSON.NS
SAPPHIRE,SAPPHIRE.NS
SARDAEN,SARDAEN.NS
SAREGAMA,SAREGAMA.NS
SCHAEFFLER,SCHAEFFLER.NS
SCHNEIDER,SCHNEIDER.NS
SCI,SCI.NS
SHREECEM,SHREECEM.NS
RENUKA,RENUKA.NS
SHRIRAMFIN,SHRIRAMFIN.NS
SHYAMMETL,SHYAMMETL.NS
SIEMENS,SIEMENS.NS
SIGNATURE,SIGNATURE.NS
SOBHA,SOBHA.NS
SOLARINDS,SOLARINDS.NS
SONACOMS,SONACOMS.NS
SONATSOFTW,SONATSOFTW.NS
STARHEALTH,STARHEALTH.NS
SBIN,SBIN.NS
SAIL,SAIL.NS
SWSOLAR,SWSOLAR.NS
SUMICHEM,SUMICHEM.NS
SUNPHARMA,SUNPHARMA.NS
SUNTV,SUNTV.NS
SUNDARMFIN,SUNDARMFIN.NS
SUNDRMFAST,SUNDRMFAST.NS
SUPREMEIND,SUPREMEIND.NS
SUZLON,SUZLON.NS
SWANENERGY,SWANENERGY.NS
SWIGGY,SWIGGY.NS
SYNGENE,SYNGENE.NS
SYRMA,SYRMA.NS
TBOTEK,TBOTEK.NS
TVSMOTOR,TVSMOTOR.NS
TANLA,TANLA.NS
TATACHEM,TATACHEM.NS
TATACOMM,TATACOMM.NS
TCS,TCS.NS
TATACONSUM,TATACONSUM.NS
TATAELXSI,TATAELXSI.NS
TATAINVEST,TATAINVEST.NS
TATAMOTORS,TATAMOTORS.NS
TATAPOWER,TATAPOWER.NS
TATASTEEL,TATASTEEL.NS
TATATECH,TATATECH.NS
TTML,TTML.NS
TECHM,TECHM.NS
TECHNOE,TECHNOE.NS
TEJASNET,TEJASNET.NS
NIACL,NIACL.NS
RAMCOCEM,RAMCOCEM.NS
THERMAX,THERMAX.NS
TIMKEN,TIMKEN.NS
TITAGARH,TITAGARH.NS
TITAN,TITAN.NS
TORNTPHARM,TORNTPHARM.NS
TORNTPOWER,TORNTPOWER.NS
TARIL,TARIL.NS
TRENT,TRENT.NS
TRIDENT,TRIDENT.NS
TRIVENI,TRIVENI.NS
TRITURBINE,TRITURBINE.NS
TIINDIA,TIINDIA.NS
UCOBANK,UCOBANK.NS
UNOMINDA,UNOMINDA.NS
UPL,UPL.NS
UTIAMC,UTIAMC.NS
ULTRACEMCO,ULTRACEMCO.NS
UNIONBANK,UNIONBANK.NS
UBL,UBL.NS
UNITDSPR,UNITDSPR.NS
USHAMART,USHAMART.NS
VGUARD,VGUARD.NS
DBREALTY,DBREALTY.NS
VTL,VTL.NS
VBL,VBL.NS
MANYAVAR,MANYAVAR.NS
VEDL,VEDL.NS
VIJAYA,VIJAYA.NS
VMM,VMM.NS
IDEA,IDEA.NS
VOLTAS,VOLTAS.NS
WAAREEENER,WAAREEENER.NS
WELCORP,WELCORP.NS
WELSPUNLIV,WELSPUNLIV.NS
WESTLIFE,WESTLIFE.NS
WHIRLPOOL,WHIRLPOOL.NS
WIPRO,WIPRO.NS
WOCKPHARMA,WOCKPHARMA.NS
YESBANK,YESBANK.NS
ZFCVINDIA,ZFCVINDIA.NS
ZEEL,ZEEL.NS
ZENTEC,ZENTEC.NS
ZENSARTECH,ZENSARTECH.NS
ZYDUSLIFE,ZYDUSLIFE.NS
ECLERX,ECLERX.NS
